feature,importance
total_activity,124518.66559821682
comment_post_ratio,50833.81161463057
posts,49553.35743147671
comments,45913.7693081449
log_total_activity,29783.668834945045
log_comments,8032.798687149727
log_posts,6639.781616806584
post_comment_ratio,5356.443757659773
username_len,43.39625028126637
is_comment_heavy,38.589070914817
username_digit_frac,29.747847601775177
username_seg_count,21.571663574686042
username_risk_score,7.043569456309593e-07
username_has_year,4.987212191831514e-09
is_post_heavy,8.894827341311088e-10
is_empty,0.0
username_has_date,0.0
username_is_highrisk,0.0
